,Longitude_first,Latitude_first,Longitude_last,Latitude_last,orig_points,dest_points,lines,distance_in_km
36,86.0,18.0,84.5,21.0,POINT (86 18),POINT (84.5 21),"LINESTRING (86 18, 84.5 21)",367.52
37,67.0,20.0,76.0,26.0,POINT (67 20),POINT (76 26),"LINESTRING (67 20, 76 26)",1136.41
38,160.4,8.6,126.0,40.0,POINT (160.4 8.6),POINT (126 40),"LINESTRING (160.4 8.6, 126 40)",4871.32
39,163.4,-4.0,160.8,-7.7,POINT (163.4 -4),POINT (160.8 -7.7),"LINESTRING (163.4 -4, 160.8 -7.7)",500.3
40,129.8,13.4,111.2,21.4,POINT (129.8 13.4),POINT (111.2 21.4),"LINESTRING (129.8 13.4, 111.2 21.4)",2163.04
41,171.8,8.3,136.5,40.0,POINT (171.8 8.3),POINT (136.5 40),"LINESTRING (171.8 8.3, 136.5 40)",4959.47
42,179.8,13.0,130.0,33.8,POINT (179.8 13),POINT (130 33.8),"LINESTRING (179.8 13, 130 33.8)",5522.05
43,-136.9,13.4,-155.8,22.7,POINT (-136.9 13.4),POINT (-155.8 22.7),"LINESTRING (-136.9 13.4, -155.8 22.7)",2246.91
44,85.1,23.1,77.3,28.5,POINT (85.1 23.1),POINT (77.3 28.5),"LINESTRING (85.1 23.1, 77.3 28.5)",984.29
45,-96.6,11.4,-122.3,30.4,POINT (-96.6 11.4),POINT (-122.3 30.4),"LINESTRING (-96.6 11.4, -122.3 30.4)",3385.96
46,-75.4,35.4,-55.9,46.0,POINT (-75.4 35.4),POINT (-55.9 46),"LINESTRING (-75.4 35.4, -55.9 46)",2016.29
47,-125.0,13.1,-138.5,22.4,POINT (-125 13.1),POINT (-138.5 22.4),"LINESTRING (-125 13.1, -138.5 22.4)",1761.41
48,-113.4,15.9,-126.7,23.9,POINT (-113.4 15.9),POINT (-126.7 23.9),"LINESTRING (-113.4 15.9, -126.7 23.9)",1648.79
49,90.8,22.0,85.5,23.1,POINT (90.8 22),POINT (85.5 23.1),"LINESTRING (90.8 22, 85.5 23.1)",558.56
50,-112.5,6.5,-164.9,23.8,POINT (-112.5 6.5),POINT (-164.9 23.8),"LINESTRING (-112.5 6.5, -164.9 23.8)",5909.18
51,-123.9,15.1,-143.5,16.5,POINT (-123.9 15.1),POINT (-143.5 16.5),"LINESTRING (-123.9 15.1, -143.5 16.5)",2104.82
52,71.8,26.2,73.4,28.7,POINT (71.8 26.2),POINT (73.4 28.7),"LINESTRING (71.8 26.2, 73.4 28.7)",318.99
53,162.2,13.3,126.7,33.3,POINT (162.2 13.3),POINT (126.7 33.3),"LINESTRING (162.2 13.3, 126.7 33.3)",4220.82
54,80.5,22.7,77.8,22.7,POINT (80.5 22.7),POINT (77.8 22.7),"LINESTRING (80.5 22.7, 77.8 22.7)",277.41
55,-129.2,12.4,-159.0,15.2,POINT (-129.2 12.4),POINT (-159 15.2),"LINESTRING (-129.2 12.4, -159 15.2)",3234.55
56,149.3,17.6,179.9,39.5,POINT (149.3 17.6),POINT (179.9 39.5),"LINESTRING (149.3 17.6, 179.9 39.5)",3821.03
57,151.1,12.2,125.8,45.5,POINT (151.1 12.2),POINT (125.8 45.5),"LINESTRING (151.1 12.2, 125.8 45.5)",4400.32
58,163.5,14.8,168.7,47.7,POINT (163.5 14.8),POINT (168.7 47.7),"LINESTRING (163.5 14.8, 168.7 47.7)",3679.71
59,-112.9,16.5,-131.4,29.3,POINT (-112.9 16.5),POINT (-131.4 29.3),"LINESTRING (-112.9 16.5, -131.4 29.3)",2363.1
60,179.8,24.0,159.4,60.5,POINT (179.8 24),POINT (159.4 60.5),"LINESTRING (179.8 24, 159.4 60.5)",4349.39
61,-29.3,9.6,-61.3,15.8,POINT (-29.3 9.6),POINT (-61.3 15.8),"LINESTRING (-29.3 9.6, -61.3 15.8)",3538.54
62,-129.3,12.3,-139.0,12.6,POINT (-129.3 12.3),POINT (-139 12.6),"LINESTRING (-129.3 12.3, -139 12.6)",1055.03
63,-45.1,14.3,-68.6,17.6,POINT (-45.1 14.3),POINT (-68.6 17.6),"LINESTRING (-45.1 14.3, -68.6 17.6)",2540.53
64,-104.9,9.7,-156.8,24.7,POINT (-104.9 9.7),POINT (-156.8 24.7),"LINESTRING (-104.9 9.7, -156.8 24.7)",5728.0
65,-17.5,11.6,-43.2,25.3,POINT (-17.5 11.6),POINT (-43.2 25.3),"LINESTRING (-17.5 11.6, -43.2 25.3)",3100.0
66,-111.7,11.8,-114.8,24.1,POINT (-111.7 11.8),POINT (-114.8 24.1),"LINESTRING (-111.7 11.8, -114.8 24.1)",1400.26
67,-104.0,10.0,-122.7,27.8,POINT (-104 10),POINT (-122.7 27.8),"LINESTRING (-104 10, -122.7 27.8)",2778.13
68,-23.1,12.0,-46.4,14.0,POINT (-23.1 12),POINT (-46.4 14),"LINESTRING (-23.1 12, -46.4 14)",2536.32
69,139.7,19.8,138.5,41.0,POINT (139.7 19.8),POINT (138.5 41),"LINESTRING (139.7 19.8, 138.5 41)",2353.11
70,-62.2,31.1,-60.3,35.7,POINT (-62.2 31.1),POINT (-60.3 35.7),"LINESTRING (-62.2 31.1, -60.3 35.7)",539.91
71,112.9,15.6,105.8,14.3,POINT (112.9 15.6),POINT (105.8 14.3),"LINESTRING (112.9 15.6, 105.8 14.3)",777.16
72,151.6,13.9,174.0,44.4,POINT (151.6 13.9),POINT (174 44.4),"LINESTRING (151.6 13.9, 174 44.4)",3993.27
73,-40.3,11.5,-49.4,18.5,POINT (-40.3 11.5),POINT (-49.4 18.5),"LINESTRING (-40.3 11.5, -49.4 18.5)",1247.49
74,-24.2,9.4,-49.3,24.1,POINT (-24.2 9.4),POINT (-49.3 24.1),"LINESTRING (-24.2 9.4, -49.3 24.1)",3122.43
75,83.5,19.6,74.5,21.0,POINT (83.5 19.6),POINT (74.5 21),"LINESTRING (83.5 19.6, 74.5 21)",952.57
76,-173.4,11.9,-173.5,30.8,POINT (-173.4 11.9),POINT (-173.5 30.8),"LINESTRING (-173.4 11.9, -173.5 30.8)",2092.8
77,148.1,13.5,116.7,28.7,POINT (148.1 13.5),POINT (116.7 28.7),"LINESTRING (148.1 13.5, 116.7 28.7)",3653.76
78,-113.7,24.3,-112.2,29.2,POINT (-113.7 24.3),POINT (-112.2 29.2),"LINESTRING (-113.7 24.3, -112.2 29.2)",563.03
79,-146.3,11.3,-162.2,14.1,POINT (-146.3 11.3),POINT (-162.2 14.1),"LINESTRING (-146.3 11.3, -162.2 14.1)",1754.06
80,-102.8,12.7,-102.7,16.4,POINT (-102.8 12.7),POINT (-102.7 16.4),"LINESTRING (-102.8 12.7, -102.7 16.4)",409.53
81,-68.7,26.8,-7.7,35.2,POINT (-68.7 26.8),POINT (-7.7 35.2),"LINESTRING (-68.7 26.8, -7.7 35.2)",5810.42
82,126.4,12.6,108.2,23.6,POINT (126.4 12.6),POINT (108.2 23.6),"LINESTRING (126.4 12.6, 108.2 23.6)",2274.91
83,-159.5,12.8,-138.0,63.0,POINT (-159.5 12.8),POINT (-138 63),"LINESTRING (-159.5 12.8, -138 63)",5825.7
84,166.9,16.9,153.5,55.8,POINT (166.9 16.9),POINT (153.5 55.8),"LINESTRING (166.9 16.9, 153.5 55.8)",4464.45
85,70.3,14.0,69.0,16.1,POINT (70.3 14),POINT (69 16.1),"LINESTRING (70.3 14, 69 16.1)",271.16
